 X,Y,phi
-4.147368058,-2.598387826,9.57E-05
-4.149176874,-2.391252827,1.83E-04
-4.088467772,-2.493572622,1.83E-04
-4.029567486,-2.388757418,2.63E-04
-5,0,0
-4.998623249,-0.117885787,0
-4.994376778,-0.236784358,0
-4.89302744,-0.05568742,9.64E-05
-4.890215829,-0.174079599,9.64E-05
-4.884534498,-0.293484562,9.64E-05
-4.786054879,-0.11137484,1.85E-04
-4.781808409,-0.230273411,1.85E-04
-4.679082319,-0.16706226,2.65E-04
-4.987260791,0.356692873,0
-4.994376868,0.23678248,0
-4.998623271,0.117884855,0
-4.88442519,0.29356914,9.65E-05
-4.89010643,0.174165131,9.65E-05
-4.892917996,0.055773891,9.65E-05
-4.781589589,0.230445407,1.85E-04
-4.785835992,0.111547782,1.85E-04
-4.678753988,0.167321674,2.65E-04
-4.949107081,0.711575084,0
-4.964747423,0.592590076,0
-4.977465326,0.474296005,0
-4.850943843,0.641324316,9.66E-05
-4.865122965,0.522684776,9.66E-05
-4.876379649,0.404736175,9.66E-05
-4.752780604,0.571073547,1.85E-04
-4.765498507,0.452779477,1.85E-04
-4.654617366,0.500822779,2.65E-04
-4.885733041,1.062832374,0
-4.9098021,0.94537649,0
-4.93092678,0.828290726,0
-4.79279362,0.98580358,9.66E-05
-4.815390489,0.868532756,9.66E-05
-4.83504298,0.751632053,9.66E-05
-4.699854199,0.908774786,1.85E-04
-4.720978879,0.791689022,1.85E-04
-4.606914778,0.831745991,2.65E-04
-3.930354781,-3.090684124,0
-3.855702024,-3.183322609,0
-3.778748967,-3.274302405,0
-3.885043379,-2.977041857,9.54E-05
-3.811540771,-3.070509687,9.54E-05
-3.735737864,-3.162318827,9.54E-05
-3.767379518,-2.957696764,1.83E-04
-3.692726761,-3.050335249,1.83E-04
-3.649715657,-2.938351671,2.62E-04
-3.699784833,-3.3632718,0
-3.618713599,-3.450348514,0
-3.535535266,-3.535532546,0
-3.66289941,-3.246643594,9.53E-05
-3.582881726,-3.334666648,9.53E-05
-3.500756943,-3.420797021,9.53E-05
-3.547049853,-3.218984783,1.82E-04
-3.46597862,-3.306061497,1.83E-04
-3.431200296,-3.191325972,2.62E-04
-3.450351299,-3.618710943,0
-3.363274648,-3.699782244,0
-3.274305313,-3.778746448,0
-3.422015152,-3.499643005,9.52E-05
-3.335884843,-3.581767854,9.53E-05
-3.24786185,-3.661785606,9.53E-05
-3.308495038,-3.463753464,1.82E-04
-3.221418387,-3.544824765,1.82E-04
-3.194974924,-3.427863924,2.62E-04
-3.183325577,-3.855699573,0
-3.09068715,-3.930352402,0
-2.99639003,-4.002704934,0
-3.163605317,-3.734762901,9.53E-05
-3.071796235,-3.810565878,9.53E-05
-2.978328461,-3.884068558,9.53E-05
-3.05290532,-3.690779354,1.83E-04
-2.960266892,-3.765432183,1.83E-04
-2.942205323,-3.646795807,2.62E-04
-4.797463919,1.408666018,0
-4.82982296,1.293335471,0
-4.859246001,1.17805759,0
-4.710285113,1.325196192,9.65E-05
-4.741176154,1.209891978,9.66E-05
-4.769131194,1.094640429,9.66E-05
-4.623106307,1.241726365,1.85E-04
-4.652529348,1.126448484,1.85E-04
-4.535927502,1.158256539,2.65E-04
-4.684747653,1.747323504,0
-4.725218049,1.63469682,0
-4.762790137,1.521810992,0
-4.603800649,1.657785837,9.65E-05
-4.642821891,1.545029581,9.65E-05
-4.678944826,1.432014179,9.65E-05
-4.522853645,1.568248169,1.85E-04
-4.560425733,1.455362341,1.85E-04
-4.44190664,1.478710502,2.65E-04
-2.900068962,-4.073029443,0
-2.802341041,-4.140883219,0
-2.703206268,-4.206266263,0
-2.889012125,-3.950831721,9.54E-05
-2.791987631,-4.019920864,9.54E-05
-2.693556283,-4.086539274,9.55E-05
-2.78163422,-3.898958509,1.83E-04
-2.683906299,-3.966812285,1.83E-04
-2.674256315,-3.847085296,2.62E-04
-2.60202554,-4.269592456,0
-2.499705792,-4.330301637,0
-2.396247023,-4.388393807,0
-2.599692294,-4.146764476,9.56E-05
-2.497942056,-4.208782163,9.56E-05
-2.395052797,-4.268182839,9.56E-05
-2.496178321,-4.087262689,1.83E-04
-2.393858572,-4.147971871,1.83E-04
-2.392664347,-4.027760902,2.62E-04
-4.548158784,2.077077677,0
-4.59652033,1.967722739,0
-4.642049953,1.857804682,0
-4.47385057,1.981948418,9.65E-05
-4.520796154,1.87231192,9.65E-05
-4.564909816,1.762112302,9.65E-05
-4.399542355,1.886819158,1.85E-04
-4.445071979,1.776901101,1.85E-04
-4.325234141,1.791689899,2.65E-04
-4.388393807,2.396247023,0
-4.444386589,2.290714343,0
-4.497641581,2.184324562,0
-4.321105256,2.296048632,9.65E-05
-4.375729143,2.190087401,9.65E-05
-4.42761524,2.083269068,9.65E-05
-4.253816704,2.195850241,1.85E-04
-4.307071696,2.089460459,1.85E-04
-4.186528152,2.095651851,2.65E-04
-2.290714343,-4.444386589,0
-2.184324562,-4.497641581,0
-2.077077677,-4.548158784,0
-2.29715002,-4.321552236,9.57E-05
-2.19118879,-4.376176123,9.57E-05
-2.084370456,-4.42806222,9.57E-05
-2.198053017,-4.254710664,1.83E-04
-2.091663236,-4.307965657,1.83E-04
-2.098956015,-4.187869093,2.63E-04
-1.967722739,-4.59652033,0
-1.857804682,-4.642049953,0
-1.747323504,-4.684747653,0
-1.982936276,-4.474290645,9.58E-05
-1.873299778,-4.521236229,9.58E-05
-1.76310016,-4.565349891,9.58E-05
-1.888794875,-4.400422505,1.83E-04
-1.778876817,-4.445952128,1.84E-04
-1.794653474,-4.326554366,2.63E-04
-4.267752308,2.393820177,9.65E-05
-4.14711081,2.391393331,1.85E-04
-4.026469311,2.388966485,2.65E-04
