X,Y,plate.w,,,
-2.978328461,-3.884068558,-1.10E-07,,,
-2.99639003,-4.002704934,0,,,
-3.05290532,-3.690779354,-2.23E-07,,,
-2.960266892,-3.765432183,-2.24E-07,,,
-2.942205323,-3.646795807,-3.41E-07,,,
-4.797463919,1.408666018,0,,,
-4.82982296,1.293335471,0,,,
-4.710285113,1.325196192,-1.05E-07,,,
-4.741176154,1.209891978,-1.05E-07,,,
-4.859246001,1.17805759,0,,,
-4.769131194,1.094640429,-1.04E-07,,,
-4.623106307,1.241726365,-2.14E-07,,,
-4.652529348,1.126448484,-2.14E-07,,,
-4.535927502,1.158256539,-3.29E-07,,,
-4.684747653,1.747323504,0,,,
-4.725218049,1.63469682,0,,,
-4.603800649,1.657785837,-1.05E-07,,,
-4.642821891,1.545029581,-1.05E-07,,,
-4.762790137,1.521810992,0,,,
-4.678944826,1.432014179,-1.05E-07,,,
-4.522853645,1.568248169,-2.15E-07,,,
-4.560425733,1.455362341,-2.15E-07,,,
-4.44190664,1.478710502,-3.30E-07,,,
-2.900068962,-4.073029443,0,,,
-2.889012125,-3.950831721,-1.10E-07,,,
-2.791987631,-4.019920864,-1.11E-07,,,
-2.802341041,-4.140883219,0,,,
-2.693556283,-4.086539274,-1.11E-07,,,
-2.703206268,-4.206266263,0,,,
-2.78163422,-3.898958509,-2.25E-07,,,
-2.683906299,-3.966812285,-2.26E-07,,,
-2.674256315,-3.847085296,-3.44E-07,,,
-2.60202554,-4.269592456,0,,,
-2.599692294,-4.146764476,-1.11E-07,,,
-2.497942056,-4.208782163,-1.12E-07,,,
-2.499705792,-4.330301637,0,,,
-2.395052797,-4.268182839,-1.12E-07,,,
-2.396247023,-4.388393807,0,,,
-2.496178321,-4.087262689,-2.27E-07,,,
-2.393858572,-4.147971871,-2.27E-07,,,
-2.392664347,-4.027760902,-3.47E-07,,,
-4.548158784,2.077077677,0,,,
-4.59652033,1.967722739,0,,,
-4.47385057,1.981948418,-1.06E-07,,,
-4.520796154,1.87231192,-1.06E-07,,,
-4.642049953,1.857804682,0,,,
-4.564909816,1.762112302,-1.05E-07,,,
-4.399542355,1.886819158,-2.16E-07,,,
-4.445071979,1.776901101,-2.16E-07,,,
-4.325234141,1.791689899,-3.31E-07,,,
-4.388393807,2.396247023,0,,,
-4.444386589,2.290714343,0,,,
-4.321105256,2.296048632,-1.06E-07,,,
-4.375729143,2.190087401,-1.06E-07,,,
-4.497641581,2.184324562,0,,,
-4.42761524,2.083269068,-1.06E-07,,,
-4.253816704,2.195850241,-2.17E-07,,,
-4.307071696,2.089460459,-2.17E-07,,,
-4.186528152,2.095651851,-3.33E-07,,,
-2.290714343,-4.444386589,0,,,
-2.29715002,-4.321552236,-1.12E-07,,,
-2.19118879,-4.376176123,-1.12E-07,,,
-2.184324562,-4.497641581,0,,,
-2.084370456,-4.42806222,-1.13E-07,,,
-2.077077677,-4.548158784,0,,,
