x,y,w
-1.285575857,1.532088351,0
-1.397924821,1.593702908,-1.09E-07
-1.372530581,1.454700685,0
-1.482487764,1.513923462,-1.08E-07
-1.510273785,1.655317464,-2.11E-07
-1.592444946,1.57314624,-2.09E-07
-1.622622748,1.716932021,-3.06E-07
-1.454701743,1.37252946,0
-1.562267143,1.429360459,-1.07E-07
1.402405116,-1.581268484,-1.03E-07
1.372530581,-1.454700685,0
1.486968059,-1.501489038,-1.03E-07
1.519234375,-1.630448616,-2.01E-07
1.601405536,-1.548277391,-2.00E-07
1.636063634,-1.679628748,-2.93E-07
1.454701743,-1.37252946,0
1.566747438,-1.416926034,-1.03E-07
1.532089341,-1.285574678,0
-1.000000832,1.732050327,0
-1.099988207,1.812299756,-1.07E-07
-1.098586939,1.671277919,0
-1.196877098,1.748586556,-1.06E-07
-1.199975582,1.892549185,-2.06E-07
-1.295167256,1.825895193,-2.06E-07
-1.299962956,1.972798614,-2.99E-07
-1.193778614,1.604623927,0
-1.290371557,1.678991772,-1.06E-07
1.65565431,-1.317076783,-1.05E-07
1.604624847,-1.193777377,0
1.725249022,-1.223582269,-1.04E-07
1.779219278,-1.348578888,-2.04E-07
1.845873197,-1.253387162,-2.02E-07
1.902784247,-1.380080993,-2.96E-07
1.671278766,-1.098585651,0
1.788962147,-1.126693331,-1.03E-07
1.732051097,-0.9999995,0
-0.684041329,1.879384862,0
-0.76928916,1.974476544,-1.02E-07
-0.791136853,1.836909215,0
-0.875496839,1.928682965,-1.02E-07
-0.854536991,2.069568226,-1.97E-07
-0.959856826,2.020456714,-1.98E-07
-0.939784822,2.164659908,-2.85E-07
-0.896456687,1.787797703,0
-0.979928829,1.876253521,-1.03E-07
1.857442182,-1.015527548,-1.05E-07
1.787798394,-0.896455309,0
1.909871546,-0.911095517,-1.03E-07
1.982833268,-1.031055597,-2.01E-07
2.031944698,-0.925735725,-1.98E-07
2.108224353,-1.046583646,-2.91E-07
1.836909825,-0.791135437,0
1.955665044,-0.804887804,-1.01E-07
1.879385389,-0.684039883,0
-0.347297904,1.969615233,0
-0.414728307,2.075956478,-9.69E-08
-0.459542142,1.946542046,0
-0.52697433,2.049381489,-9.70E-08
-0.48215871,2.182297723,-1.87E-07
-0.594406518,2.152220932,-1.87E-07
-0.549589113,2.288638967,-2.70E-07
-0.57178995,1.916465255,0
-0.639223923,2.015802897,-9.72E-08
2.006567822,-0.680601593,-1.03E-07
1.916465723,-0.571788383,0
2.040146349,-0.568351884,-1.01E-07
2.133750255,-0.677163304,-1.98E-07
2.163826975,-0.564915384,-1.94E-07
2.260932689,-0.673725015,-2.85E-07
1.946542442,-0.459540463,0
2.066721261,-0.456105753,-9.94E-08
1.969615547,-0.347296122,0
0,2,0
-0.050855352,2.114841166,-9.41E-08
-0.113897856,1.996824349,0
-0.165687264,2.108189212,-9.38E-08
-0.101710703,2.229682331,-1.81E-07
-0.217476671,2.219554075,-1.80E-07
-0.152566055,2.344523497,-2.60E-07
-0.229663824,1.986696093,0
-0.282387287,2.094584654,-9.34E-08
2.094308431,-0.323243478,-1.01E-07
1.98669623,-0.229662651,0
2.107912848,-0.206544055,-9.92E-08
2.219001315,-0.299190833,-1.93E-07
2.229129466,-0.183425459,-1.90E-07
2.343694198,-0.275138189,-2.78E-07
1.996824381,-0.113897277,0
2.114564733,-0.09171273,-9.79E-08
2,0,0
0.347296122,1.969615547,0
0.319525305,2.093100966,-9.65E-08
0.229662651,1.98669623,0
0.202825882,2.106705383,-9.53E-08
0.291754488,2.216586384,-1.85E-07
0.175989114,2.226714535,-1.82E-07
0.263983671,2.340071803,-2.65E-07
0.113897277,1.996824381,0
0.087994557,2.113357268,-9.41E-08
2.117199187,0.040829129,-9.85E-08
1.996824349,0.113897856,0
2.110547233,0.155661041,-9.77E-08
2.234398373,0.081658257,-1.89E-07
2.224270118,0.197424225,-1.88E-07
2.35159756,0.122487386,-2.73E-07
1.986696093,0.229663824,0
2.096942675,0.272361064,-9.68E-08
1.969615233,0.347297904,0
0.684039883,1.879385389,0
0.676196026,2.005169989,-9.85E-08
0.571788383,1.916465723,0
0.563946316,2.038748516,-9.68E-08
0.668352169,2.130954589,-1.89E-07
0.556104249,2.161031309,-1.85E-07
0.660508312,2.256739189,-2.71E-07
0.459540463,1.946542442,0
0.451700186,2.065323428,-9.50E-08
2.076189989,0.415272306,-9.97E-08
1.946542046,0.459542142,0
2.049615,0.52751833,-9.97E-08
2.182764745,0.483246709,-1.93E-07
2.152687955,0.595494518,-1.93E-07
2.289339501,0.551221112,-2.79E-07
1.916465255,0.57178995,0
2.016036409,0.639767923,-9.97E-08
1.879384862,0.684041329,0
0.9999995,1.732051097,0
1.025025215,1.857477855,-1.07E-07
0.896455309,1.787798394,0
0.920593183,1.909907219,-1.05E-07
1.05005093,1.982904613,-2.05E-07
0.944731057,2.032016043,-2.00E-07
1.075076644,2.108331371,-2.95E-07
0.791135437,1.836909825,0
0.81438547,1.955700716,-1.02E-07
1.732050327,1.000000832,0
1.811195451,1.098699423,-1.06E-07
1.671277919,1.098586939,0
1.747482251,1.195588314,-1.06E-07
1.890340574,1.197398014,-2.06E-07
1.823686583,1.292589688,-2.06E-07
1.969485698,1.296096604,-2.99E-07
1.604623927,1.193778614,0
1.677887467,1.289082773,-1.06E-07
1.532088351,1.285575857,0
1.973144022,0.767539959,-1.02E-07
1.836909215,0.791136853,0
1.927350443,0.873747638,-1.02E-07
2.066903182,0.851038589,-1.98E-07
2.01779167,0.956358423,-1.98E-07
2.160662342,0.934537219,-2.88E-07
1.787797703,0.896456687,0
1.874920999,0.978179628,-1.02E-07
1.285574678,1.532089341,0
1.327659159,1.652732084,-1.09E-07
1.193777377,1.604624847,0
1.234164645,1.722326796,-1.07E-07
1.36974364,1.773374827,-2.09E-07
1.274551914,1.840028745,-2.06E-07
1.411828121,1.89401757,-3.02E-07
1.098585651,1.671278766,0
1.137275707,1.786039921,-1.05E-07
1.593300978,1.397270728,-1.09E-07
1.454700685,1.372530581,0
1.513521532,1.481833671,-1.08E-07
1.654513604,1.508965599,-2.10E-07
1.57234238,1.59113676,-2.08E-07
1.71572623,1.62066047,-3.05E-07
1.37252946,1.454701743,0
1.428958529,1.56161305,-1.07E-07
-4.758184094,-4.74898412,-3.96E-08
-4.838789396,-4.70919929,-3.14E-08
-4.838789396,-4.83265608,-1.97E-08
-4.919394698,-4.79287125,-1.24E-08
-4.919394698,-4.66941446,-1.82E-08
-5,-4.75308642,-2.74E-25
-5,-4.62962963,0
-4.919394698,-4.91632804,-6.50E-09
-5,-4.87654321,-3.00E-24
-5,-5,0
-4.715332606,-4.83265608,-3.20E-08
-4.795937908,-4.91632804,-1.27E-08
-4.87654321,-5,6.48E-25
-4.672481118,-4.91632804,-1.88E-08
-4.75308642,-5,-5.16E-24
-4.62962963,-5,0
-4.724296543,-4.442158125,-8.32E-08
-4.816197695,-4.381191836,-6.17E-08
-4.816197695,-4.504648626,-5.29E-08
-4.908098848,-4.443682338,-2.96E-08
-4.908098848,-4.320225548,-3.40E-08
-5,-4.382716049,-8.25E-25
-5,-4.259259259,0
-4.908098848,-4.567139128,-2.51E-08
-5,-4.50617284,-9.41E-24
-4.746888244,-4.646708788,-5.45E-08
-4.827493546,-4.606923958,-4.23E-08
-4.735592393,-4.544433456,-6.90E-08
-4.651120829,-4.723700362,-5.83E-08
-4.608269341,-4.807372322,-4.69E-08
-4.565417853,-4.891044282,-2.99E-08
-4.544057564,-4.698416604,-7.78E-08
-4.501206076,-4.782088564,-6.26E-08
-4.436994299,-4.673132846,-9.80E-08
-4.639824979,-4.62142503,-7.75E-08
-4.532761713,-4.596141272,-1.01E-07
-4.628529128,-4.519149698,-9.64E-08
-4.259259259,-5,0
-4.318504272,-4.891044282,-4.07E-08
-4.382716049,-5,0
-4.441961063,-4.891044282,-3.53E-08
-4.377749286,-4.782088564,-7.34E-08
-4.50617284,-5,0
-4.712268757,-4.077191962,-1.22E-07
-4.808179172,-4.014424271,-8.66E-08
-4.808179172,-4.137881061,-7.99E-08
-4.904089586,-4.07511337,-4.26E-08
-4.904089586,-3.95165658,-4.60E-08
-5,-4.012345679,-7.80E-25
-5,-3.888888889,0
-4.904089586,-4.19857016,-3.93E-08
-5,-4.135802469,-1.40E-23
-4.812188433,-4.259536449,-7.12E-08
-4.720287281,-4.320502737,-9.70E-08
-4.716278019,-4.19884735,-1.10E-07
-4.436366145,-4.267471794,-1.88E-07
-4.528333683,-4.204045183,-1.72E-07
-4.532342944,-4.325700571,-1.51E-07
-4.624310482,-4.26227396,-1.34E-07
-4.62030122,-4.140618573,-1.50E-07
-4.628319743,-4.383929348,-1.16E-07
-4.532552329,-4.460920921,-1.28E-07
-4.436784914,-4.537912495,-1.31E-07
-4.43657553,-4.402692145,-1.61E-07
-4.170963043,-4.434007362,-2.07E-07
-4.259430744,-4.378495506,-2.06E-07
-4.259640128,-4.513715856,-1.68E-07
-4.348107829,-4.458204,-1.67E-07
-4.347898445,-4.32298365,-1.99E-07
-4.348317214,-4.593424351,-1.32E-07
-4.191237429,-4.90158762,-4.12E-08
-4.250482442,-4.792631902,-7.99E-08
-4.123215598,-4.80317524,-8.41E-08
-4.182460611,-4.694219522,-1.21E-07
-4.055193767,-4.70476286,-1.28E-07
-4.309727455,-4.683676184,-1.10E-07
-4.132373285,-4.524259194,-1.85E-07
-4.22105037,-4.603967689,-1.47E-07
-4.093783526,-4.614511027,-1.59E-07
-3.999758808,-4.80317524,-9.12E-08
-4.067780639,-4.90158762,-4.48E-08
-4.135802469,-5,-2.01E-25
-3.944323848,-4.90158762,-4.84E-08
-4.012345679,-5,-1.59E-23
-3.888888889,-5,0
-4.901812515,-3.828409818,-5.00E-08
-4.805902101,-3.891177509,-9.39E-08
-4.709991687,-3.9539452,-1.33E-07
-4.803625031,-3.767930747,-1.00E-07
-4.707714616,-3.830698438,-1.42E-07
-4.705437546,-3.707451675,-1.52E-07
-4.803625031,-3.644473956,-1.05E-07
-4.901812515,-3.704953028,-5.25E-08
-4.901812515,-3.581496237,-5.50E-08
-5,-3.641975309,-6.93E-25
-5,-3.518518519,0
-5,-3.765432099,-1.74E-23
-4.40751231,-3.897922033,-2.60E-07
-4.506820722,-3.834431914,-2.29E-07
-4.509097792,-3.957678676,-2.13E-07
-4.608406204,-3.894188557,-1.80E-07
-4.606129134,-3.770941795,-1.93E-07
-4.610683275,-4.017435319,-1.67E-07
-4.518715738,-4.08086193,-1.93E-07
-4.4267482,-4.14428854,-2.13E-07
-4.417130255,-4.021105286,-2.37E-07
-4.296422777,-3.96240129,-2.88E-07
-4.306040722,-4.085584543,-2.61E-07
-4.315658667,-4.208767797,-2.33E-07
-4.185333243,-4.026880547,-3.10E-07
-4.194951188,-4.1500638,-2.79E-07
-4.07424371,-4.091359804,-3.25E-07
-4.138723266,-4.319791509,-2.47E-07
-4.227190966,-4.264279653,-2.43E-07
-4.106483488,-4.205575656,-2.86E-07
-4.068819551,-4.424167124,-2.28E-07
-4.030229792,-4.514418957,-2.03E-07
-3.991640033,-4.60467079,-1.74E-07
-3.966676058,-4.414326887,-2.49E-07
-3.928086299,-4.50457872,-2.21E-07
-3.864532565,-4.404486649,-2.68E-07
-4.036579773,-4.309951272,-2.71E-07
-3.93443628,-4.300111034,-2.93E-07
-4.004339995,-4.195735419,-3.12E-07
-3.824005748,-4.900468719,-5.19E-08
-3.879440707,-4.802056339,-9.82E-08
-3.759122607,-4.800937437,-1.04E-07
-3.814557566,-4.702525057,-1.48E-07
-3.694239465,-4.701406156,-1.57E-07
-3.934875667,-4.703643959,-1.39E-07
-3.807768199,-4.503459818,-2.36E-07
-3.871321933,-4.603551888,-1.87E-07
-3.751003832,-4.602432987,-1.99E-07
-3.635665816,-4.800937437,-1.10E-07
-3.700548958,-4.900468719,-5.46E-08
-3.765432099,-5,-3.33E-25
-3.577092167,-4.900468719,-5.72E-08
-3.641975309,-5,-1.90E-23
-3.518518519,-5,0
-4.606901942,-3.646594727,-2.03E-07
-4.50759353,-3.710084846,-2.43E-07
-4.408285118,-3.773574965,-2.77E-07
-4.508366338,-3.585737778,-2.55E-07
-4.409057926,-3.649227898,-2.92E-07
-4.409830734,-3.52488083,-3.06E-07
-4.901661399,-3.457775882,-5.72E-08
-4.803473915,-3.520753601,-1.10E-07
-4.70528643,-3.58373132,-1.59E-07
-4.803322799,-3.397033246,-1.14E-07
-4.705135314,-3.460010965,-1.66E-07
-4.704984198,-3.33629061,-1.71E-07
-4.508215222,-3.462017423,-2.66E-07
-4.606750826,-3.522874372,-2.12E-07
-4.60659971,-3.399154016,-2.21E-07
-4.803322799,-3.273576456,-1.18E-07
-4.901661399,-3.334319092,-5.89E-08
-4.901661399,-3.210862302,-6.07E-08
-5,-3.271604938,-5.97E-25
-5,-3.148148148,0
-5,-3.395061728,-1.96E-23
-4.114376853,-3.714573229,-3.96E-07
-4.21286148,-3.651342429,-3.71E-07
-4.212088672,-3.775689497,-3.51E-07
-4.310573299,-3.712458697,-3.24E-07
-4.311346107,-3.58811163,-3.41E-07
-4.309800491,-3.836805765,-3.05E-07
-4.100999139,-3.840168754,-3.76E-07
-4.198710958,-3.901285022,-3.32E-07
-4.087621424,-3.965764279,-3.52E-07
-3.838441555,-3.827605355,-4.55E-07
-3.930419988,-3.78992798,-4.39E-07
-3.917042273,-3.915523505,-4.11E-07
-4.009020706,-3.877846129,-3.95E-07
-4.022398421,-3.752250604,-4.19E-07
-3.995642992,-4.003441654,-3.68E-07
-3.805526209,-4.300808501,-3.16E-07
-3.875429924,-4.196432885,-3.39E-07
-3.746519854,-4.197130352,-3.63E-07
-3.816423569,-4.092754737,-3.84E-07
-3.687513498,-4.093452203,-4.10E-07
-3.945333639,-4.09205727,-3.56E-07
-3.788132203,-3.916220971,-4.44E-07
-3.866732921,-4.004139121,-4.00E-07
-3.73782285,-4.004836587,-4.29E-07
-3.6324222,-4.600520553,-2.10E-07
-3.689186567,-4.501547384,-2.51E-07
-3.570604935,-4.49963495,-2.63E-07
-3.627369301,-4.400661781,-3.01E-07
-3.508787669,-4.398749347,-3.16E-07
-3.745950933,-4.402574215,-2.85E-07
-3.568362946,-4.296983633,-3.52E-07
-3.686944578,-4.298896067,-3.35E-07
-3.627938222,-4.195217918,-3.84E-07
-3.455393414,-4.900036879,-5.97E-08
-3.513967063,-4.800505597,-1.15E-07
-3.392268309,-4.800073757,-1.19E-07
-3.450841958,-4.700542476,-1.72E-07
-3.329143204,-4.700110636,-1.78E-07
-3.572540712,-4.700974316,-1.65E-07
-3.448906181,-4.49920311,-2.75E-07
-3.510723446,-4.600088713,-2.20E-07
-3.389024692,-4.599656873,-2.29E-07
-3.268811519,-4.800073757,-1.23E-07
-3.331936623,-4.900036879,-6.15E-08
-3.395061728,-5,-4.11E-25
-3.208479833,-4.900036879,-6.34E-08
-3.271604938,-5,-2.12E-23
-3.148148148,-5,0
-4.3120007,-3.463287521,-3.56E-07
-4.213516073,-3.526518321,-3.89E-07
-4.115031446,-3.58974912,-4.18E-07
-4.214170666,-3.401694212,-4.05E-07
-4.115686039,-3.464925012,-4.37E-07
-4.116340632,-3.340100903,-4.54E-07
-4.606789913,-3.275153645,-2.28E-07
-4.508405425,-3.338017052,-2.75E-07
-4.410020937,-3.400880458,-3.18E-07
-4.508595628,-3.21401668,-2.84E-07
-4.41021114,-3.276880087,-3.29E-07
-4.410401344,-3.152879715,-3.39E-07
-4.214360869,-3.27769384,-4.20E-07
-4.312190903,-3.339287149,-3.69E-07
-4.312381106,-3.215286778,-3.81E-07
-4.70464643,-2.965463883,-1.85E-07
-4.80309762,-2.902901848,-1.26E-07
-4.80309762,-3.026358638,-1.24E-07
-4.90154881,-2.963796603,-6.34E-08
-4.90154881,-2.840339813,-6.46E-08
-5,-2.901234568,-5.29E-25
-5,-2.777777778,0
-4.90154881,-3.087253393,-6.22E-08
-5,-3.024691358,-2.12E-23
-4.803210209,-3.149967547,-1.21E-07
-4.704871609,-3.212681701,-1.77E-07
-4.704759019,-3.089072792,-1.81E-07
-4.508483039,-3.090407771,-2.91E-07
-4.606677324,-3.151544736,-2.34E-07
-4.606564735,-3.027935827,-2.40E-07
-3.818512424,-3.519602701,-5.30E-07
-3.917788493,-3.459768768,-5.09E-07
-3.9171339,-3.584592877,-4.86E-07
-4.01640997,-3.524758944,-4.64E-07
-4.017064563,-3.399934835,-4.84E-07
-4.015755377,-3.649583053,-4.42E-07
-3.831798511,-3.724937804,-4.82E-07
-3.923776944,-3.687260428,-4.63E-07
-3.825155468,-3.622270252,-5.07E-07
-3.729371112,-3.800883118,-4.89E-07
-3.67906176,-3.889498734,-4.76E-07
-3.628752408,-3.97811435,-4.59E-07
-3.62030067,-3.774160881,-5.22E-07
-3.569991317,-3.862776497,-5.07E-07
-3.511230227,-3.747438644,-5.53E-07
-3.722728069,-3.698215566,-5.17E-07
-3.613657626,-3.671493329,-5.51E-07
-3.716085025,-3.595548015,-5.43E-07
-3.448609574,-4.295647956,-3.68E-07
-3.508184851,-4.193882241,-4.02E-07
-3.388431479,-4.192546564,-4.19E-07
-3.448006756,-4.090780849,-4.51E-07
-3.328253384,-4.089445172,-4.68E-07
-3.567760127,-4.092116526,-4.32E-07
-3.389245665,-3.975442996,-5.02E-07
-3.508999036,-3.976778673,-4.82E-07
-3.450237946,-3.86144082,-5.31E-07
-3.267363069,-4.599919219,-2.36E-07
-3.327244558,-4.499465456,-2.84E-07
-3.205582935,-4.499727803,-2.93E-07
-3.265464423,-4.39927404,-3.39E-07
-3.143802801,-4.399536386,-3.48E-07
-3.387126046,-4.399011694,-3.28E-07
-3.266769856,-4.19280891,-4.33E-07
-3.326947951,-4.295910302,-3.81E-07
-3.205286329,-4.296172648,-3.93E-07
-3.085690215,-4.900218877,-6.47E-08
-3.1460219,-4.800255756,-1.26E-07
-3.023232281,-4.800437754,-1.28E-07
-3.083563966,-4.700474633,-1.87E-07
-2.960774348,-4.700656631,-1.91E-07
-3.206353585,-4.700292634,-1.83E-07
-3.082793316,-4.499909801,-3.00E-07
-3.144573451,-4.600101218,-2.42E-07
-3.021783832,-4.600283216,-2.48E-07
-2.899775491,-4.800437754,-1.31E-07
-2.962233425,-4.900218877,-6.59E-08
-3.024691358,-5,-4.67E-25
-2.838776634,-4.900218877,-6.71E-08
-2.901234568,-5,-2.25E-23
-2.777777778,-5,0
-4.020359709,-3.279838885,-5.00E-07
-3.92108364,-3.339672817,-5.28E-07
-3.82180757,-3.39950675,-5.51E-07
-3.924378786,-3.219576866,-5.43E-07
-3.825102717,-3.279410799,-5.70E-07
-3.828397863,-3.159314848,-5.85E-07
-4.31244242,-3.091704508,-3.92E-07
-4.214422183,-3.154111571,-4.32E-07
-4.116401946,-3.216518634,-4.69E-07
-4.214483497,-3.030529302,-4.43E-07
-4.11646326,-3.092936364,-4.82E-07
-4.116524574,-2.969354095,-4.93E-07
-3.9244401,-3.095994597,-5.59E-07
-4.020421023,-3.156256615,-5.15E-07
-4.020482337,-3.032674346,-5.28E-07
-4.704893689,-2.594029224,-1.93E-07
-4.803262459,-2.531821952,-1.31E-07
-4.803262459,-2.655278742,-1.30E-07
-4.90163123,-2.59307147,-6.61E-08
-4.90163123,-2.469614679,-6.68E-08
-5,-2.530864198,-4.85E-25
-5,-2.407407407,0
-4.90163123,-2.71652826,-6.54E-08
-5,-2.654320988,-2.22E-23
-4.80318004,-2.779090295,-1.28E-07
-4.70472885,-2.84165233,-1.88E-07
-4.704811269,-2.717840777,-1.91E-07
-4.410291048,-2.780993046,-3.60E-07
-4.508491928,-2.718671772,-3.08E-07
-4.508409509,-2.842483325,-3.03E-07
-4.606610389,-2.780162051,-2.49E-07
-4.606692809,-2.656350498,-2.52E-07
-4.606527969,-2.903973604,-2.45E-07
-4.508446274,-2.966445548,-2.98E-07
-4.410364578,-3.028917492,-3.47E-07
-4.410327813,-2.904955269,-3.54E-07
-4.214446732,-2.906567079,-4.52E-07
-4.312405655,-2.967742285,-4.01E-07
-4.31236889,-2.843780062,-4.08E-07
-3.542076721,-3.353655436,-6.39E-07
-3.637517102,-3.28887524,-6.25E-07
-3.634221955,-3.408971191,-6.04E-07
-3.729662336,-3.344190995,-5.89E-07
-3.732957482,-3.224095044,-6.07E-07
-3.72636719,-3.464286946,-5.68E-07
-3.623939791,-3.54023226,-5.80E-07
-3.521512392,-3.616177574,-5.86E-07
-3.531794556,-3.484916505,-6.14E-07
-3.244561723,-3.462669232,-6.77E-07
-3.343733389,-3.4263313,-6.67E-07
-3.333451224,-3.557592369,-6.39E-07
-3.43262289,-3.521254437,-6.28E-07
-3.442905055,-3.389993368,-6.55E-07
-3.422340726,-3.652515506,-5.97E-07
-3.260724631,-3.991026461,-5.15E-07
-3.321716912,-3.877024285,-5.47E-07
-3.193195878,-3.892607751,-5.60E-07
-3.254188159,-3.778605574,-5.89E-07
-3.125667125,-3.79418904,-6.02E-07
-3.382709193,-3.763022109,-5.73E-07
-3.165298658,-3.683682437,-6.31E-07
-3.293819692,-3.668098972,-6.16E-07
-3.20493019,-3.573175834,-6.56E-07
-3.080345696,-4.299733454,-4.02E-07
-3.141829224,-4.196369716,-4.45E-07
-3.016888592,-4.199930522,-4.54E-07
-3.07837212,-4.096566784,-4.94E-07
-2.953431487,-4.10012759,-5.03E-07
-3.203312752,-4.093005978,-4.82E-07
-3.068255246,-3.896168556,-5.73E-07
-3.135783999,-3.994587267,-5.29E-07
-3.010843366,-3.998148073,-5.40E-07
-2.898285765,-4.601194101,-2.52E-07
-2.959295249,-4.500820686,-3.06E-07
-2.835797183,-4.50173157,-3.11E-07
-2.896806667,-4.401358156,-3.62E-07
-2.7733086,-4.40226904,-3.68E-07
-3.020304734,-4.400447271,-3.56E-07
-2.893390525,-4.200841407,-4.62E-07
-2.956847629,-4.300644339,-4.10E-07
