X,Y,phi
1.566747438,-1.416926034,1.25E-04
1.532089341,-1.285574678,0
-1.000000832,1.732050327,0
-1.099988207,1.812299756,1.31E-04
-1.199975582,1.892549185,2.46E-04
-1.299962956,1.972798614,3.44E-04
-1.098586939,1.671277919,0
-1.196877098,1.748586556,1.31E-04
-1.295167256,1.825895193,2.44E-04
-1.193778614,1.604623927,0
-1.290371557,1.678991772,1.30E-04
1.65565431,-1.317076783,1.28E-04
1.779219278,-1.348578888,2.40E-04
1.902784247,-1.380080993,3.36E-04
1.604624847,-1.193777377,0
1.725249022,-1.223582269,1.27E-04
1.845873197,-1.253387162,2.38E-04
1.671278766,-1.098585651,0
1.788962147,-1.126693331,1.26E-04
1.732051097,-0.9999995,0
-0.684041329,1.879384862,0
-0.76928916,1.974476544,1.29E-04
-0.854536991,2.069568226,2.42E-04
-0.939784822,2.164659908,3.38E-04
-0.791136853,1.836909215,0
-0.875496839,1.928682965,1.28E-04
-0.959856826,2.020456714,2.41E-04
-0.896456687,1.787797703,0
-0.979928829,1.876253521,1.28E-04
1.857442182,-1.015527548,1.28E-04
1.982833268,-1.031055597,2.40E-04
2.108224353,-1.046583646,3.35E-04
1.787798394,-0.896455309,0
1.909871546,-0.911095517,1.27E-04
2.031944698,-0.925735725,2.37E-04
1.836909825,-0.791135437,0
1.955665044,-0.804887804,1.25E-04
1.879385389,-0.684039883,0
-0.347297904,1.969615233,0
-0.414728307,2.075956478,1.26E-04
-0.48215871,2.182297723,2.36E-04
-0.549589113,2.288638967,3.29E-04
-0.459542142,1.946542046,0
-0.52697433,2.049381489,1.25E-04
-0.594406518,2.152220932,2.34E-04
-0.57178995,1.916465255,0
-0.639223923,2.015802897,1.24E-04
2.006567822,-0.680601593,1.29E-04
2.133750255,-0.677163304,2.40E-04
2.260932689,-0.673725015,3.35E-04
1.916465723,-0.571788383,0
2.040146349,-0.568351884,1.27E-04
2.163826975,-0.564915384,2.37E-04
1.946542442,-0.459540463,0
2.066721261,-0.456105753,1.26E-04
1.969615547,-0.347296122,0
0,2,0
-0.050855352,2.114841166,1.24E-04
-0.101710703,2.229682331,2.32E-04
-0.152566055,2.344523497,3.24E-04
-0.113897856,1.996824349,0
-0.165687264,2.108189212,1.23E-04
-0.217476671,2.219554075,2.30E-04
-0.229663824,1.986696093,0
-0.282387287,2.094584654,1.22E-04
2.094308431,-0.323243478,1.28E-04
2.219001315,-0.299190833,2.38E-04
2.343694198,-0.275138189,3.32E-04
1.98669623,-0.229662651,0
2.107912848,-0.206544055,1.26E-04
2.229129466,-0.183425459,2.36E-04
1.996824381,-0.113897277,0
2.114564733,-0.09171273,1.25E-04
2,0,0
0.347296122,1.969615547,0
0.319525305,2.093100966,1.26E-04
0.291754488,2.216586384,2.35E-04
0.263983671,2.340071803,3.28E-04
0.229662651,1.98669623,0
