X,Y,  delN
14.60961983,0.350561628,4.96E+16
14.73974655,0.233707752,2.67E+16
14.86987328,0.116853876,1.01E+16
15,0,0
14.7364108,0.416317661,4.13E+16
14.86765753,0.299035376,1.74E+16
14.99890426,0.181753091,-0.384089685
14.86320177,0.482073694,2.47E+16
14.99556851,0.364362999,7.174272367
14.98999275,0.547829727,0
14.9599843,1.094929124,0
14.79782777,1.005143791,4.54E+16
14.63567125,0.915358458,7.99E+16
14.47351472,0.825573125,1.04E+17
14.97225436,0.91183505,0
14.80896421,0.822413521,4.13E+16
14.64567406,0.732991992,7.17E+16
14.98225718,0.729468584,0
14.81783341,0.64041086,3.72E+16
14.48994541,1.368279464,1.18E+17
14.64662504,1.277162684,8.28E+16
14.80330467,1.186045904,4.35E+16
14.6299685,1.459042156,8.65E+16
14.78779218,1.367626246,4.53E+16
14.94561586,1.276210335,1.331174675
14.7699916,1.549804848,4.72E+16
14.92895932,1.458089808,16.39021493
14.91001469,1.640567541,0
14.43631579,1.868503587,1.29E+17
14.59421542,1.792524905,9.15E+16
14.75211506,1.716546223,4.84E+16
14.57092742,1.973674498,9.35E+16
14.72997836,1.897461304,4.94E+16
14.88902929,1.82124811,1.492148953
14.70553906,2.078845409,5.04E+16
14.86574129,2.002397704,17.67472156
14.8401507,2.18401632,0
14.35741515,2.376692465,1.37E+17
14.518327,2.312467084,9.75E+16
14.67923885,2.248241702,5.17E+16
14.4884386,2.492645278,9.86E+16
14.65050586,2.428249824,5.23E+16
14.81257311,2.36385437,1.58127239
14.61946205,2.608598091,5.29E+16
14.78268471,2.544032564,18.59618044
14.7504855,2.724550904,0
14.25378227,2.893247029,1.44E+17
14.41935001,2.837014988,1.02E+17
14.58491775,2.780782946,5.43E+16
14.38290103,3.015981638,1.03E+17
14.54962518,2.959643663,5.47E+16
14.71634933,2.903305688,1.661824323
14.5120198,3.138716247,5.50E+16
14.67990035,3.082272339,19.39645294
14.64113856,3.261450857,0
14.13363156,3.412646166,1.48E+17
14.30280056,3.36224773,1.05E+17
14.47196956,3.311849293,5.59E+16
14.25983966,3.539763826,1.06E+17
14.43016299,3.489323176,5.61E+16
14.60048631,3.438882525,1.705678883
14.38604777,3.666881485,5.63E+16
14.55752541,3.616398622,19.87175524
14.51225587,3.793999145,0
13.99632195,3.928641352,1.50E+17
14.16829993,3.883760616,1.07E+17
14.3402779,3.838879881,5.69E+16
14.11888452,4.059588998,1.07E+17
14.29201169,4.01472923,5.70E+16
14.46513885,3.969869461,1.73089897
14.24144709,4.190536645,5.71E+16
14.41572345,4.145697844,20.15548589
14.36400966,4.321484292,0
13.83968856,4.438319514,1.52E+17
14.01446226,4.39937444,1.08E+17
14.18923596,4.360429366,5.77E+16
13.95865824,4.573280744,1.08E+17
14.13457299,4.534419161,5.77E+16
14.31048775,4.495557578,1.760065194
14.07762791,4.708241973,5.78E+16
14.25468372,4.669463881,20.41051079
14.19659758,4.843203202,0
13.66670656,4.941339495,1.53E+17
13.8433369,4.908627397,1.09E+17
14.01996724,4.8759153,5.81E+16
13.78121862,5.080379806,1.09E+17
13.95897893,5.047812952,5.81E+16
14.13673924,5.015246098,1.773351194
13.89573069,5.219420117,5.81E+16
14.07462097,5.186998507,20.54306658
14.01024275,5.358460428,0
13.47652065,5.437287984,1.54E+17
13.65442802,5.411012132,1.10E+17
13.83233538,5.38473628,5.83E+16
13.58607837,5.580381428,1.10E+17
13.7651017,5.554311686,5.83E+16
13.94412504,5.528241944,1.779841911
13.69563609,5.723474873,5.83E+16
13.87577539,5.69761124,20.6138593
13.80519381,5.866568317,0
13.2689085,5.925911697,1.54E+17
13.44767027,5.90613057,1.10E+17
13.62643204,5.886349444,5.84E+16
13.37318064,6.07289034,1.10E+17
13.5530415,6.053375189,5.84E+16
13.73290237,6.033860038,1.781996867
13.47745277,6.219868984,5.84E+16
13.65841273,6.200619808,20.6467523
